timestamp,cpu_percent,memory_usage_mb,memory_percent,net_io,block_io
1753861952,0,62.21,0.4,363MB / 7.65MB,0B / 0B
1753861954,0.11,62.21,0.4,363MB / 7.65MB,0B / 0B
1753861957,0.03,62.21,0.4,363MB / 7.65MB,0B / 0B
1753861961,33.43,152.4,0.98,363MB / 7.65MB,0B / 0B
1753861963,99.55,199.1,1.28,363MB / 7.65MB,0B / 0B
1753861966,99.55,209.2,1.34,363MB / 7.65MB,0B / 0B
1753861969,99.55,221.3,1.42,363MB / 7.65MB,0B / 0B
1753861972,99.86,231.4,1.49,363MB / 7.65MB,0B / 0B
1753861974,99.86,241.4,1.55,363MB / 7.65MB,0B / 0B
1753861977,100.79,251.6,1.62,363MB / 7.65MB,0B / 0B
1753861981,99.73,263.6,1.69,363MB / 7.65MB,0B / 0B
1753861983,99.8,273.7,1.76,363MB / 7.65MB,0B / 0B
1753861986,100.79,281.7,1.81,363MB / 7.65MB,0B / 0B
1753861989,99.98,293.9,1.89,363MB / 7.65MB,0B / 0B
1753861992,99.86,303.9,1.95,363MB / 7.65MB,0B / 0B
1753861994,99.86,314,2.02,363MB / 7.65MB,0B / 0B
1753861997,100.67,326.1,2.1,363MB / 7.65MB,0B / 0B
1753862001,99.61,338.1,2.17,363MB / 7.65MB,0B / 0B
1753862003,99.8,346.3,2.22,363MB / 7.65MB,0B / 0B
1753862006,100.92,356.4,2.29,363MB / 7.65MB,0B / 0B
1753862009,99.73,366.4,2.35,363MB / 7.65MB,0B / 0B
1753862012,99.73,378.6,2.43,363MB / 7.65MB,0B / 0B
1753862014,99.86,386.7,2.48,363MB / 7.65MB,0B / 0B
1753862017,99.8,420.1,2.7,363MB / 7.65MB,0B / 0B
1753862021,532.76,490.1,3.15,363MB / 7.65MB,0B / 0B
1753862023,1602.19,679.3,4.36,363MB / 7.65MB,0B / 0B
1753862026,1598.95,679.3,4.36,363MB / 7.65MB,0B / 0B
1753862029,1610.72,679.2,4.36,363MB / 7.65MB,0B / 0B
1753862032,1599.81,679.2,4.36,363MB / 7.65MB,0B / 0B
1753862034,1601.5,679.2,4.36,363MB / 7.65MB,0B / 0B
1753862037,1600.88,679.2,4.36,363MB / 7.65MB,0B / 0B
1753862041,1599.12,679.2,4.36,363MB / 7.65MB,0B / 0B
1753862043,1371.97,679.4,4.36,363MB / 7.65MB,0B / 0B
1753862046,1599.43,679.4,4.36,363MB / 7.65MB,0B / 0B
1753862049,1595.6,679.4,4.36,363MB / 7.65MB,0B / 0B
1753862052,1599.57,679.4,4.36,363MB / 7.65MB,0B / 0B
1753862054,1596.85,679.4,4.36,363MB / 7.65MB,0B / 0B
1753862057,1600.12,679.4,4.36,363MB / 7.65MB,0B / 0B
1753862061,965.25,679.4,4.36,363MB / 7.65MB,0B / 0B
1753862063,1600.27,679.4,4.36,363MB / 7.65MB,0B / 0B
1753862066,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862069,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862072,0,198.1,1.27,363MB / 7.65MB,0B / 0B
1753862074,0,198.1,1.27,363MB / 7.65MB,0B / 0B
